"Time","SO2"
1740237496277,682.436957041
1740237569179,682.437421295
1740237642133,682.427956895
1740237846632,682.400771751
1740237912944,682.393999169
1740237979254,682.391722142
1740238045580,682.396636479
1740238111909,682.40073992
1740238178318,682.390291832
1740238244524,682.385329265
1740238310876,682.390707855
1740238443520,682.393690077
1740238515381,682.389021171
1740238588337,682.387923304
1740238661359,682.397350153
1740238734252,682.373030852
1740238807202,682.414371422
1740238879730,682.380058576
1740238945389,682.377102463
1740239011733,682.375058458
1740239078410,682.388247827
1740239144365,682.375646043
1740239210704,682.391877304
1740239277700,682.38074614
1740239343345,682.38998274
1740239409673,682.391668192
1740239475998,682.403690312
1740239542361,682.390206051
1740239608648,682.395793753
1740239674973,682.379694302
1740239741374,682.373186014
1740239807663,682.392319438
1740239874730,682.399656252
1740239940386,682.393803698
1740240006631,682.387464772
1740240072969,682.396235887
1740240139381,682.392164276
1740240205679,682.410214031
1740240272122,682.443628412
1740240338367,682.399036837
1740240404690,682.41956302
1740240471432,682.406678255
1740240537287,682.413720177
1740240603679,682.421120652
1740240669947,682.42079613
1740240736275,682.408395537
1740240802612,682.417604796
1740240868993,682.413518986
1740240935367,682.425501354
1740241001581,682.427086827
1740241134250,682.447111206
1740241598657,682.415236268
1740241665160,682.418742414
1740241731358,682.421206433
1740241797495,682.416088704
1740241930117,682.43414066
1740241996472,682.427032877
1740242062913,682.434674294
1740242129142,682.446925446
1740242195477,682.440959271
1740242261824,682.434295821
1740242328144,682.433212153
1740242394584,682.431941493
1740242460813,682.438644693
1740242527195,682.431654521
1740242593445,682.421863399
1740242659754,682.427236268
1740242726710,682.435726132
1740242792430,682.472734229
1740242858733,682.441664466
1740242925126,682.428357487
1740242991375,682.447544861
1740243057915,682.428170495
1740243123374,682.445586636
1740243189935,682.430943605
1740243256291,682.455409589
1740243322507,682.441136553
1740243455150,682.442853835
1740243521466,682.448668838
1740243587868,682.441546856
1740243654115,682.454666843
1740243786938,682.45028614
1740243853297,682.451369809
1740243919444,682.450782224
1740243985834,682.445549085
1740244118405,682.45700354
1740244190402,682.43690978
1740244262172,682.490154859
1740244335156,682.445804226
1740244408113,682.436359746
1740244487668,682.457895728
1740244554138,682.464868268
1740244632533,682.438612863
1740244698942,682.446145148
1740244765293,682.456284145
1740244831497,682.43831225
1740244898700,682.433634866
1740245030469,682.440075004
1740245096793,682.472067553
1740245163120,682.467537409
1740245229450,682.452174984
1740245362299,682.437374033
1740245433993,682.441198981
1740245507400,682.457276313
1740245579901,682.449806456
1740245653300,682.456369926
1740245726310,682.447111206
1740245798470,682.437901947
1740245869696,682.437746785
1740245949268,682.453878067
1740246028778,682.493692835
1740246108400,682.451577688
1740246180358,682.443999932
1740246253180,682.482685002
1740246332762,682.473358133
1740246399155,682.493196751
1740246478862,682.448163044
1740246545800,682.442907785
1740246616888,682.453814406
1740246683181,682.450595232
1740246749514,682.491989752
1740246815835,682.455340208
1740246882325,682.4610376
1740246948486,682.442437811
1740247015100,682.448969451
1740247081161,682.455254427
1740247213869,682.451059485
1740247280117,682.460627297
1740247346579,682.494744673
1740247479288,682.461971827
1740247551172,682.447352148
1740247630634,682.466097388
1740247696893,682.451561289
1740247769899,682.453318323
1740247842793,682.475525469
1740247921450,682.4622446
1740247987619,682.474527581
1740248120311,682.464543746
1740248186595,682.481959887
1740248253210,682.457862665
1740248319250,682.476517636
1740248385578,682.474495751
1740248452860,682.455067435
1740248518316,682.46495977
1740248584798,682.472601187
1740248650870,682.491292477
1740248717303,682.453573464
1740248783530,682.472942109
1740248850120,682.490991864
1740248916370,682.474195138
1740249048875,682.469340472
1740249120719,682.476185193
1740249200297,682.468320464
1740249266749,682.464394305
1740249346251,682.466507691
1740249412610,682.482028036
1740249485499,682.510975934
1740249569589,682.475989722
1740249636200,682.45963513
1740249702379,682.480224973
1740249768693,682.493677404
1740249834898,682.522462219
1740249901276,682.481649563
1740249967634,682.484141422
1740250033874,682.479541898
1740250166701,682.505442182
1740250232863,682.497593853
1740250299213,682.513444441
1740250365515,682.464511916
1740250431922,682.484350534
1740250498278,682.465168882
1740250564837,682.466330409
1740250630991,682.44498362
1740250697347,682.460888159
1740250763472,682.479419798
1741294551230,227.930757591
1741294629190,227.92929545
1741294695411,227.931471431
1741294761762,227.935789675
1741294828317,227.937251816
1741294894676,227.938713957
1741295027381,227.94852943
1741295093739,227.740482334
1741295160295,227.869081292
1741295226649,340.742060023
1741295293200,228.196729662
1741295359587,227.779871701
1741295425745,227.462764553
1741295492306,340.90496861
1741295558667,340.68895799
1741295625250,228.513287079
1741295691393,228.326171757
1741295757724,228.173461887
1741295824143,228.013759948
1741295890585,227.893044641
1741295962427,227.767107773
1741296028748,227.663593863
1741296095760,227.580153001
1741296161441,227.499314264
1741296227767,227.441370219
1741296294129,227.359676866
1741296360502,227.30416454
1741304583592,227.594260177
1741304649661,227.576026716
1741304715989,227.564299958
1741304782339,227.555970976
1741304848691,227.533316631
1741304914934,227.510763165
1741304981594,227.514120789
1741305047796,227.498066829
1741305114800,227.486336551
1741305180362,227.471492514
1741305313200,227.456322801
1741305379335,227.444331348
1741305445839,227.440414899
1741305511994,227.43260459
1741305578551,227.423854744
1741305644701,227.42415214
1741305711150,227.424517714
1741305777415,227.419717018
1741305843638,227.39646219
1741305910124,227.405903287
1741305976481,227.394009642
1741306042819,227.387459266
1741306108932,227.379238204
1741306175328,227.379607299
1741306241683,227.377846002
1741306308500,227.373583047
1741306374566,227.368949238
1741306506924,227.358434164
1741306573226,227.349866596
1741306639530,227.34959355
1741306705934,227.340620667
1741306772302,227.334768582
1741306838506,227.34029499
1741306904982,227.32805308
1741306973900,227.33035429
1741307037478,227.317616296
1741307103831,227.320837973
1741307170148,227.315093809
1741307236540,227.328192097
1741307302896,227.310183433
1741307369250,227.299174035
1741307501753,227.303339181
1741307568106,227.301973088
1741307634464,227.29880318
1741307700807,227.294884971
1741307772697,227.292926746
1741307838946,227.285591692
1741307971764,227.292580241
1741308037913,227.285832038
1741308104267,227.283502958
1741308170622,227.280211342
1741308236962,227.270270641
1741308303332,227.2680929
1741308369687,227.27408093
1741308436510,227.270662325
1741308502195,227.270916302
1741308568545,227.262810358
1741308634901,227.252777129
1741308701667,227.266153744
1741308767611,227.269121444
1741308833966,227.266761424
1741308900203,227.277542954
1741308966469,227.280870791
1741309032831,227.286144982
1741309099184,227.282576799
1741309165542,227.304258046
1741309231891,227.294199157
1741309298248,227.310118931
1741309364628,227.308507212
1741309430754,227.315130186
1741309497280,227.334844858
1741309563462,227.324192077
1741309629827,227.327140709
1741309696193,227.329074584
1741309762560,227.326729956
1741309828920,227.332132895
1741309895340,227.338501892
1741309961647,227.325521792
1741310028900,227.337405326
1741310094573,227.328930286
1741310161000,227.335078006
1741310227293,227.333615865
1741310293656,227.328320846
1741310360120,227.331988598
1741310426371,227.337259268
1741310492730,227.336047584
1741310558954,227.32563867
1741310625210,227.32402519
1741310691598,227.332259884
1741310757857,227.321574403
1741310957264,227.322192194
1741311023210,227.308489903
1741311155848,227.314214999
1741311227811,227.315234586
1741311302156,227.304404807
1741311373631,227.309109455
1741311446749,227.311690752
1741311519659,227.312279364
1741311591545,227.315455863
1741311657733,227.303927793
1741311724560,227.304079131
1741311790378,227.300011344
1741311856692,227.295130597
1741311923680,227.305560341
1741311989450,227.299687427
1741312055973,227.306780376
1741312121987,227.297856192
1741312188401,227.298822249
1741312254634,227.290125933
1741312320996,227.296610047
1741312387367,227.282886927
1741312453718,227.287792022
1741312718932,227.29710261
1741312790816,227.285832038
1741312863929,227.284495125
1741312936839,227.282171326
1741313009648,227.289400221
1741313082654,227.285483772
1741313161114,227.284018111
1741313227429,227.271904949
1741313360157,227.283375969
1741313426405,227.267104253
1741313492869,227.272723189
1741313559630,227.285391244
1741313691754,227.279020487
1741313758950,227.284620354
1741313890823,227.273241862
1741313962600,227.273857893
1741314035630,227.274700482
1741314108547,227.27018707
1741314181665,227.268111968
1741314254580,227.271554923
1741314333230,227.26419904
1741314399383,227.269323652
1741314465741,227.265276694
1741314532990,227.27792392
1741314598459,227.266005926
1741314664639,227.263102473
1741314731103,227.266028515
1741314797328,227.265426272
1741314863684,227.263574207
1741314929968,227.268208017
1741314996400,227.253510038
1741315062595,227.265058937
1741315128995,227.270935371
1741315195267,227.267511485
1741315261624,227.25953253
1741315327979,227.265535952
1741315394337,227.269193143
1741315460639,227.261396466
1741315527130,227.262975484
1741315593337,227.264566374
1741315659541,227.270679633
1741315725869,227.265182406
1741315792474,227.266028515
1741315858620,227.26788058
1741315924970,227.272164364
1741315991321,227.267384497
1741316057676,227.268153627
1741316123826,227.267640234
1741316190192,227.256585658
1741316256530,227.256364381
1741316322826,227.262352412
1741316389238,227.263943302
1741316455591,227.257445556
1741316521948,227.261854568
1741316594581,227.269342721
1741316654387,227.261360245
1741316720717,227.255979895
1741316787212,227.251457525
1741316853941,227.275467852
1741316919699,227.263318469
1741316986230,227.268628881
1741317052379,227.256733476
1741317118735,227.25709729
1741317184989,227.262625458
1741317251448,227.250982271
1741317317801,227.264110189
1741317384160,227.267753591
1741317450311,227.263248531
1741317516620,227.262754207
1741317582942,227.263831862
1741317649373,227.257720363
1741317715729,227.270973509
1741317781955,227.25709729
1741317848446,227.254042499
1741317914604,227.264350534
1741317980965,227.25479256
1741318047325,227.26088499
1741318113891,227.250359199
1741318180454,227.258360744
1741318246813,227.258362504
1741318313172,227.249041355
1741318379530,227.251993507
1741318512246,227.249286981
1741318577582,227.250033522
1741318643735,227.249779544
1741318710200,227.245370532
1741318842807,227.247453985
1741318909300,227.23557941
1741318975519,227.242200624
1741319041667,227.246505237
1741319108320,227.233121581
1741319174388,227.241706301
1741319240746,227.235683809
1741319306981,227.236073733
1741319373355,227.226879573
1741319439767,227.244545252
1741319506290,227.239859673
1741319575464,227.239490578
1741319638610,227.229831725
1741319705410,227.233871642
1741319771396,227.22858558
1741319837585,227.221227936
1741319903980,227.232030295
1741319970245,227.225293963
